Date,USA IMI/INDUSTRIALS
4/5/1996,326.5706726
4/8/1996,321.618934
4/9/1996,321.2271739
4/10/1996,317.7334742
4/11/1996,315.2332623
4/12/1996,317.2583497
4/15/1996,320.7910176
4/16/1996,321.9452563
4/17/1996,321.4823805
4/18/1996,324.0069285
4/19/1996,324.4341668
4/22/1996,326.8264628
4/23/1996,327.3306516
4/24/1996,327.2100165
4/25/1996,327.9358389
4/26/1996,328.3051484
4/29/1996,327.9673894
4/30/1996,329.0004096
5/1/1996,330.3402096
5/2/1996,326.8946736
5/3/1996,325.8163585
5/6/1996,325.0430052
5/7/1996,322.4103342
5/8/1996,323.2535191
5/9/1996,325.4801754
5/10/1996,328.5245199
5/13/1996,332.5464562
5/14/1996,335.1555867
5/15/1996,336.092957
5/16/1996,337.1407908
5/17/1996,339.2546639
5/20/1996,341.6299265
5/21/1996,341.5382037
5/22/1996,345.1321378
5/23/1996,343.5666141
5/24/1996,344.2790239
5/27/1996,344.2790239
5/28/1996,340.5106319
5/29/1996,338.0901864
5/30/1996,339.5411423
5/31/1996,339.24606
6/3/1996,338.7790507
6/4/1996,340.856494
6/5/1996,343.2371711
6/6/1996,342.8764337
6/7/1996,342.4760304
6/10/1996,342.7298889
6/11/1996,341.3211087
6/12/1996,341.3029849
6/13/1996,340.3770441
6/14/1996,338.537993
6/17/1996,338.0348048
6/18/1996,336.2294349
6/19/1996,336.0172288
6/20/1996,335.4601025
6/21/1996,338.7883601
6/24/1996,339.9779605
6/25/1996,339.4326207
6/26/1996,336.4525254
6/27/1996,337.9047678
6/28/1996,339.3671641
7/1/1996,342.2713589
7/2/1996,341.2701087
7/3/1996,340.8474894
7/4/1996,340.8474894
7/5/1996,334.6958564
7/8/1996,331.5731992
7/9/1996,333.0320948
7/10/1996,332.2136731
7/11/1996,326.5251096
7/12/1996,325.3981561
7/15/1996,315.5278406
7/16/1996,311.7455301
7/17/1996,317.6366529
7/18/1996,323.0249697
7/19/1996,320.3995981
7/22/1996,316.8509218
7/23/1996,313.5664568
7/24/1996,312.10226
7/25/1996,314.5517557
7/26/1996,317.2934995
7/29/1996,315.3343116
7/30/1996,317.0929107
7/31/1996,320.6874561
8/1/1996,324.7463762
8/2/1996,331.0047303
8/5/1996,330.5582886
8/6/1996,332.1427403
8/7/1996,333.297119
8/8/1996,332.4947454
8/9/1996,331.2316207
8/12/1996,332.3532845
8/13/1996,331.4703767
8/14/1996,332.6201125
8/15/1996,332.6567358
8/16/1996,333.6709036
8/19/1996,333.9951656
8/20/1996,334.4365903
8/21/1996,333.7875636
8/22/1996,335.8684196
8/23/1996,335.6127485
8/26/1996,335.1065259
8/27/1996,336.8250225
8/28/1996,337.2930782
