Date,USA IMI/UTILITIES
1/21/1997,371.6859718
1/22/1997,373.6090832
1/23/1997,372.8352788
1/24/1997,369.8886864
1/27/1997,368.393248
1/28/1997,367.8470467
1/29/1997,366.5710928
1/30/1997,368.2093133
1/31/1997,368.4639722
2/3/1997,368.1972303
2/4/1997,367.883648
2/5/1997,364.8716384
2/6/1997,364.6562546
2/7/1997,366.3264606
2/10/1997,366.1194398
2/11/1997,367.3927249
2/12/1997,370.1170871
2/13/1997,371.4177146
2/14/1997,370.8200751
2/17/1997,370.8200751
2/18/1997,371.7481973
2/19/1997,370.6286238
2/20/1997,368.8539234
2/21/1997,369.6945261
2/24/1997,371.982927
2/25/1997,370.328415
2/26/1997,367.2759366
2/27/1997,365.8066019
2/28/1997,367.0032017
3/3/1997,367.2328503
3/4/1997,367.5990596
3/5/1997,368.0702442
3/6/1997,365.6393403
3/7/1997,366.9812646
3/10/1997,367.4094213
3/11/1997,366.0293717
3/12/1997,364.8245923
3/13/1997,361.0275888
3/14/1997,362.8590997
3/17/1997,363.8567059
3/18/1997,361.4077853
3/19/1997,361.6969859
3/20/1997,359.4700127
3/21/1997,360.2912687
3/24/1997,361.1511904
3/25/1997,363.8787904
3/26/1997,362.2245042
3/27/1997,357.1015741
3/28/1997,357.1015741
3/31/1997,355.3756791
4/1/1997,355.1006414
4/2/1997,354.3613917
4/3/1997,352.2515532
4/4/1997,351.2173042
4/7/1997,351.5155174
4/8/1997,350.6328765
4/9/1997,350.7054282
4/10/1997,352.7427885
4/11/1997,347.8459679
4/14/1997,346.8570649
4/15/1997,348.1339147
4/16/1997,348.8903906
4/17/1997,347.4535481
4/18/1997,349.088107
4/21/1997,346.7118328
4/22/1997,347.5155553
4/23/1997,346.84224
4/24/1997,344.1404137
4/25/1997,343.0873768
4/28/1997,347.6952367
4/29/1997,351.9610758
4/30/1997,352.0544148
5/1/1997,352.5412163
5/2/1997,358.4694097
5/5/1997,365.6983518
5/6/1997,368.097766
5/7/1997,363.1387682
5/8/1997,363.8711778
5/9/1997,363.8234108
5/12/1997,365.3371595
5/13/1997,363.2728021
5/14/1997,365.2050169
5/15/1997,364.9465581
5/16/1997,364.4996215
5/19/1997,364.1902341
5/20/1997,363.2568057
5/21/1997,361.91118
5/22/1997,360.4779923
5/23/1997,363.2026796
5/26/1997,363.2026796
5/27/1997,362.6708961
5/28/1997,363.1680156
5/29/1997,363.2975242
5/30/1997,365.9443426
6/2/1997,365.4230463
6/3/1997,365.7456044
6/4/1997,364.5464496
6/5/1997,365.3214791
6/6/1997,367.4121667
6/9/1997,366.6431694
6/10/1997,366.4130285
