Date,USA IMI/INFORMATION TECH
2/27/1996,458.9915636
2/28/1996,457.6345712
2/29/1996,448.8688054
3/1/1996,432.9927191
3/4/1996,428.0309931
3/5/1996,436.7614249
3/6/1996,428.423654
3/7/1996,428.2367844
3/8/1996,419.7080967
3/11/1996,429.4645465
3/12/1996,424.0120979
3/13/1996,431.7800168
3/14/1996,433.2976783
3/15/1996,442.8705638
3/18/1996,453.8912195
3/19/1996,450.8813166
3/20/1996,439.5434229
3/21/1996,433.7295341
3/22/1996,434.5355066
3/25/1996,423.7773516
3/26/1996,425.0267653
3/27/1996,428.6447551
3/28/1996,428.6352241
3/29/1996,430.6892091
4/1/1996,432.7965676
4/2/1996,435.3660751
4/3/1996,438.2950564
4/4/1996,438.5218356
4/5/1996,438.5218356
4/8/1996,438.3871695
4/9/1996,438.4329612
4/10/1996,439.2747574
4/11/1996,435.8839574
4/12/1996,431.3756248
4/15/1996,437.330878
4/16/1996,448.2329764
4/17/1996,441.9367282
4/18/1996,449.1859785
4/19/1996,450.5279522
4/22/1996,458.9218233
4/23/1996,468.4628308
4/24/1996,478.2791327
4/25/1996,482.2000287
4/26/1996,482.1498326
4/29/1996,480.7298267
4/30/1996,480.0654506
5/1/1996,483.2144475
5/2/1996,476.1754577
5/3/1996,478.7191842
5/6/1996,481.0492335
5/7/1996,478.0111763
5/8/1996,478.6286055
5/9/1996,477.6466878
5/10/1996,483.3971735
5/13/1996,496.351464
5/14/1996,501.4379125
5/15/1996,501.1137376
5/16/1996,500.8465658
5/17/1996,503.2837182
5/20/1996,506.7366585
5/21/1996,503.1329439
5/22/1996,501.8530388
5/23/1996,500.5450815
5/24/1996,497.9822117
5/27/1996,497.9822117
5/28/1996,494.4311819
5/29/1996,488.3531521
5/30/1996,492.964455
5/31/1996,498.554172
6/3/1996,495.0037728
6/4/1996,496.7400604
6/5/1996,498.9635429
6/6/1996,488.0389739
6/7/1996,490.4698658
6/10/1996,489.1178731
6/11/1996,489.8289137
6/12/1996,491.7212956
6/13/1996,486.1320093
6/14/1996,478.2659089
6/17/1996,474.8487145
6/18/1996,462.0652646
6/19/1996,463.8116905
6/20/1996,461.0960127
6/21/1996,463.8134796
6/24/1996,466.5960935
6/25/1996,460.7122259
6/26/1996,450.9499218
6/27/1996,461.0943059
6/28/1996,467.7014462
7/1/1996,475.8745674
7/2/1996,471.7889933
7/3/1996,465.497505
7/4/1996,465.497505
7/5/1996,455.1842089
7/8/1996,453.6868609
7/9/1996,452.5469831
7/10/1996,447.4800386
7/11/1996,427.1890743
7/12/1996,424.6711985
7/15/1996,403.4649492
7/16/1996,409.1040936
7/17/1996,423.9128476
7/18/1996,434.9114685
7/19/1996,427.3676832
7/22/1996,419.3480607
7/23/1996,402.0194303
7/24/1996,406.7543421
7/25/1996,421.5140241
7/26/1996,430.7212461
7/29/1996,423.1226739
7/30/1996,428.5689426
7/31/1996,433.0162451
8/1/1996,440.606826
8/2/1996,453.9629311
8/5/1996,448.8714355
8/6/1996,454.1475278
8/7/1996,465.2145752
8/8/1996,464.644064
