Date,USA IMI/HEALTH CARE
10/29/1997,480.2607997
10/30/1997,473.7452969
10/31/1997,478.232295
11/3/1997,487.6355699
11/4/1997,488.7228851
11/5/1997,494.2944587
11/6/1997,491.9172187
11/7/1997,486.8958676
11/10/1997,484.1116028
11/11/1997,485.2115788
11/12/1997,475.0003122
11/13/1997,482.1459081
11/14/1997,490.4872765
11/17/1997,493.2665226
11/18/1997,487.8513033
11/19/1997,491.9824105
11/20/1997,496.7181315
11/21/1997,501.4901079
11/24/1997,491.6587548
11/25/1997,493.1283911
11/26/1997,492.0841993
11/27/1997,492.0841993
11/28/1997,493.2309826
12/1/1997,499.916304
12/2/1997,500.1112658
12/3/1997,504.642464
12/4/1997,507.5901873
12/5/1997,507.7371559
12/8/1997,506.6398495
12/9/1997,506.0351579
12/10/1997,504.674456
12/11/1997,498.0176924
12/12/1997,495.8814529
12/15/1997,500.7819489
12/16/1997,505.7939007
12/17/1997,504.2040547
12/18/1997,498.0740054
12/19/1997,492.0625349
12/22/1997,497.6934852
12/23/1997,493.0110515
12/24/1997,486.6093265
12/25/1997,486.6093265
12/26/1997,491.5333548
12/29/1997,499.1997696
12/30/1997,508.848398
12/31/1997,508.5573382
1/1/1998,508.5573382
1/2/1998,509.4469325
1/5/1998,516.2092151
1/6/1998,510.9856594
1/7/1998,510.3028545
1/8/1998,507.7580946
1/9/1998,492.4110398
1/12/1998,500.7762689
1/13/1998,503.4653229
1/14/1998,508.4547226
1/15/1998,504.4970065
1/16/1998,511.3436605
1/19/1998,511.3436605
1/20/1998,529.9453539
1/21/1998,523.6762917
1/22/1998,520.7143387
1/23/1998,520.269607
1/26/1998,519.5341861
1/27/1998,524.5312627
1/28/1998,532.0519317
1/29/1998,536.8000505
1/30/1998,534.4490091
2/2/1998,543.9616835
2/3/1998,540.991485
2/4/1998,540.7387507
2/5/1998,536.9993914
2/6/1998,541.2128007
2/9/1998,541.2455748
2/10/1998,547.7345933
2/11/1998,549.2131549
2/12/1998,550.0414811
2/13/1998,547.836586
2/16/1998,547.836586
2/17/1998,550.1095457
2/18/1998,555.7395463
2/19/1998,553.7491646
2/20/1998,556.5494811
