Date,USA IMI/MATERIALS
6/6/1996,382.6903083
6/7/1996,384.556923
6/10/1996,383.3318145
6/11/1996,383.0468112
6/12/1996,384.6924801
6/13/1996,382.8522559
6/14/1996,381.3967372
6/17/1996,382.3543532
6/18/1996,381.5030139
6/19/1996,380.5702
6/20/1996,380.9270081
6/21/1996,382.084641
6/24/1996,381.7219802
6/25/1996,377.4477052
6/26/1996,373.668447
6/27/1996,372.1091737
6/28/1996,372.3976449
7/1/1996,378.3566909
7/2/1996,376.2472221
7/3/1996,375.3650816
7/4/1996,375.3650816
7/5/1996,370.4361273
7/8/1996,367.853671
7/9/1996,370.9054915
7/10/1996,370.6587731
7/11/1996,367.4748815
7/12/1996,365.9343306
7/15/1996,357.1257371
7/16/1996,354.2320727
7/17/1996,354.9719946
7/18/1996,357.3767846
7/19/1996,356.3328685
7/22/1996,353.2244024
7/23/1996,349.7480892
7/24/1996,349.0979101
7/25/1996,353.0087924
7/26/1996,357.4154565
7/29/1996,355.5690569
7/30/1996,358.0896287
7/31/1996,360.9090926
8/1/1996,364.2036194
8/2/1996,367.6645044
8/5/1996,369.9670428
8/6/1996,370.0609884
8/7/1996,371.1611622
8/8/1996,371.9299596
8/9/1996,372.0933497
8/12/1996,374.168731
8/13/1996,371.8547522
8/14/1996,373.6055138
8/15/1996,374.351059
8/16/1996,375.2993338
8/19/1996,376.6292944
8/20/1996,378.9045125
8/21/1996,377.906165
8/22/1996,380.2347306
8/23/1996,379.9956616
8/26/1996,378.2673694
8/27/1996,378.8900514
8/28/1996,378.9768942
8/29/1996,376.6477632
8/30/1996,374.6622741
9/2/1996,374.6622741
9/3/1996,376.330815
9/4/1996,378.1944631
9/5/1996,375.9642213
9/6/1996,378.2133354
9/9/1996,381.7019956
9/10/1996,380.8914661
9/11/1996,381.3614783
9/12/1996,383.832654
9/13/1996,386.3524425
9/16/1996,388.3661225
9/17/1996,389.8655986
9/18/1996,389.2537895
9/19/1996,387.3735076
9/20/1996,388.1188662
9/23/1996,387.0794638
9/24/1996,387.9016013
9/25/1996,387.7190407
9/26/1996,389.0232985
9/27/1996,389.5129916
9/30/1996,390.381023
10/1/1996,391.8270689
10/2/1996,393.6462942
10/3/1996,394.2222959
10/4/1996,397.1630824
10/7/1996,395.1734509
10/8/1996,392.5639928
10/9/1996,392.1309565
10/10/1996,394.2428031
10/11/1996,395.7669501
10/14/1996,395.0803919
10/15/1996,393.9921481
10/16/1996,393.4130648
10/17/1996,394.45659
10/18/1996,395.8836241
10/21/1996,396.4277283
10/22/1996,396.3695112
10/23/1996,394.413645
10/24/1996,393.3718422
10/25/1996,393.2524755
10/28/1996,391.4964546
10/29/1996,392.1005646
10/30/1996,389.4040778
10/31/1996,389.6877804
11/1/1996,392.0304132
11/4/1996,391.8258632
11/5/1996,392.8190853
11/6/1996,393.5721632
11/7/1996,394.4908284
11/8/1996,394.8930589
11/11/1996,396.8232893
11/12/1996,402.1907424
11/13/1996,402.6646483
11/14/1996,402.6802159
11/15/1996,402.4785095
11/18/1996,401.2695635
11/19/1996,403.1603235
11/20/1996,404.3194699
11/21/1996,403.788018
11/22/1996,404.1543005
11/25/1996,406.4896669
11/26/1996,406.4893255
11/27/1996,406.5639175
11/28/1996,406.5639175
11/29/1996,407.0117964
12/2/1996,408.4425438
12/3/1996,407.5826962
12/4/1996,406.2104003
12/5/1996,410.4947962
12/6/1996,405.8739482
12/9/1996,407.0760213
12/10/1996,408.0740056
12/11/1996,401.6893171
12/12/1996,398.5294301
12/13/1996,396.4519431
12/16/1996,393.1742024
12/17/1996,392.807228
12/18/1996,393.6174347
12/19/1996,399.3546209
12/20/1996,402.888853
12/23/1996,399.9115854
12/24/1996,400.8808392
12/25/1996,400.8808392
12/26/1996,402.8052228
12/27/1996,402.9525387
12/30/1996,404.3189539
12/31/1996,401.6008835
1/1/1997,401.6008835
1/2/1997,402.0621203
1/3/1997,406.7910314
1/6/1997,406.8784928
1/7/1997,409.8521183
1/8/1997,409.5255818
1/9/1997,412.8316942
1/10/1997,416.1297966
1/13/1997,415.3512065
